Issue Identifier,Eduardo,Rahul,Consensus,,Key,,
buildpath in binaries generated by d compiler ldc,2,2,2,,,,
captures home dir,2,2,2,,,,
dpkg-dev extracts origtgz with bad permissions,?,?,11,,,,
uid and gid in cmake-generated pkzip,4,4,4,,,,
timestamps in description files generated by r-base-dev,1,1,1,,,,
random xspp identifier by extutils xspp,5,5,5,,,,
captures build arch via ecbuild,?,?,8,,,,
captures kernel version via ecbuild,?,?,8,,,,
records build flags from ecbuild,?,?,2,,,,
timestamps in h generated by ecbuild,1,1,1,,,,
timestamp in info file created by makeinfo,1,1,1,,,,
texinfo mdate sh varies by timezone,1,1,1,,,,
timestamps in documentation generated by edoc,1,1,1,,,,
randomness in ocaml custom executables,5,5,5,,,,
timestamps in dictionaries,1,1,1,,,,
timestamps in maven version files,1,1,1,,,,
captures build path in golang compiler,2,2,2,,,,
build path in mip files generated by irafcl,2,2,2,,,,
randomness in fonts created by fontcustom,"1, 5, ?",5,"1, 16",,,,
nondeterminism in java classes generated by jxc,5,?,5,,,,
random order in antlr output,5,5,5,,,,
timestamps embedded in manpages by scdoc,1,1,1,,,,
timestamps in pdf generated by imagemagick,1,1,1,,,,
nondeterministic gtk icon cache,"3, 5",?,16,,,,
scons doesnt pass environment to build tools,?,?,0,,,,
libtool captures shell build-flags build-path path-env,"2, ?",2,2,,,,
randomness in t3g files generated tslmendian,6,6,6,,,,
build path in typelib files generated by gir compiler,2,2,2,,,,
timestamps in preamble generated by node package preamble,1,1,1,,,,
berkeley db variation requiring further investigation,?,?,16,,,,
sphinx htmlhelp readdir sensitive,3,3,3,,,,
randomness in ocaml provides,5,?,5,,,,
timestamps in pdf generated by inkscape,1,1,1,,,,
timestamps manually added needs further investigation,1,?,1,,,,
serial numbers in ogg,5,5,5,,,,
nondeterministic output from uglifyjs,"1, ?",5,5,,,,
rollup embeds build path,2,2,2,,,,
build path captured by pyuic5,2,2,2,,,,
random order in maven plugin xml,3,5,3,,,,
timestamps in output generated by txt2tags,1,1,1,,,,
randomness in ids generated by org-html-publish-to-html,5,5,5,,,,
timestamps in documentation generated by pandoc,1,1,1,,,,
help2man puts traceback in generated man page,0,2,0,,,,
timestamp in tables generated by casacore measuresdata,1,1,1,,,,
captures build path via quicktest h qml,2,2,2,,,,
timestamps in allegro dat files,1,1,1,,,,
timestamps generated by hevea,1,1,1,,,,
randomness in binaries generated by d compiler gdc,8,5,5,,,,
jekyll site time timestamp,1,1,1,,,,
ocaml dune captures build path,2,2,2,,,,
buildpath in binaries generated by ada compiler,2,1,2,,,,
nondeterminism in files generated by rime deployer,?,3,3,,,,
nondeterministic order of debhelper snippets added by dh fortran mod,?,5,5,,,,
timestamps in manpages created by libwibble,1,1,1,,,,
randomness in pdf2htmlex html output,?,5,5,,,,
captures execution time,1,1,1,,,,
captures build path via haskell adddependentfile,2,2,2,,,,
ftbfs in jenkins setup,16,?,16,,,,
needs internet access to build,?,?,0,,,,
timestamps in documentation generated by org mode,1,1,1,,,,
cflags recorded in ada ali files,?,?,5,,,,
random order in ibus table createdb output,5,3,3,,,,
different pot creation date in gettext pot files,5,1,1,,,,
embeds build data via node preamble,1,9,9,,,,
png generated by plantuml captures kernel version and builddate,"1, 8","1, 8","1, 8",,,,
build path captured by nim,2,2,2,,,,
nondeterminism in documentation generated by pydoctor,5,?,5,,,,
timestamps in ruby documentation,1,1,1,,,,
randomness in perl6 precompiled libraries,16,5,16,,,,
ftbfs environment,"1, ?",1,17,,,,
member search index json,1,"1, 4",4,,,,
timestamps from cpp macros in d,?,1,1,,,,
buildpath in postgres opcodes,2,2,2,,,,
fortran captures build path,2,2,2,,,,
different pot creation date in gettext mo files,?,1,1,,,,
blacklisted on jenkins,?,16,0,,,,
filesystem ordering in pak files generated by simutrans makeobj,3,3,3,,,,
ghc captures build path via tempdir,2,2,2,,,,
build path in documentation generated by pdflatex,2,2,2,,,,
timestamps in maven metadata local xml files,1,1,1,,,,
randomness in output from perl deparse,5,5,5,,,,
timestamps in documentation generated by asciidoc,1,1,1,,,,
captures build path in hd5 database files,2,2,2,,,,
timestamps in manpages generated by lopsubgen,1,1,1,,,,
randomness in property annotations generated by sphinx,5,5,5,,,,
randomness in files generated by pinyin gen binary files,3,3,3,,,,
formatdb from ncbi blastplus captures build time,1,1,1,,,,
doxygen fails to create all links in example code,?,?,0,,,,
markdown random email address html entities,"1, 10",?,"1, 10",,,,
timestamps difference by unzip,1,"1, 4",4,,,,
timestamps in episode files generated by jxc,1,1,1,,,,
timestamps in pdf generated by daps,1,1,1,,,,
timestamps in jsdoc toolkit documentation,1,1,1,,,,
timestamps in 3d files created by survex,1,1,1,,,,
cargo installs crates2 json,?,? or 5,16,,,,
timestamps in documentation generated by phpdox,1,1,1,,,,
build path in apertium mode files,2,2,2,,,,
random identifiers in epub files generated by asciidoc,3,5,3,,,,
timestamp added by gnuradio grcc,1,1,1,,,,
random build path by golang compiler,2,2,2,,,,
absolute build paths in dot packlist file generated by perl extutils packlist,2,2,2,,,,
randomness in documentation graphviz generated by sphinx,?,2,2,,,,
timestamps in ifo files generated by python stardicter,1,1,1,,,,
codadef coda data files,4,4,4,,,,
jellyfish creates nondeterministic json,?,? or 5,1,,,,
randomness in binaries generated by sbcl,?,lacale or 16,17,,,,
nondeterministic version generated by python param,16,"3, 5",16,,,,
captures build path in mdb files,2,2,2,,,,
timezone specific files due to haskell devscripts,?,1,1,,,,
images in pdf generated by latex,?,?,16,,,,
ros dynamic reconfigure captures build path,16,2,2,,,,
nondeterministic ordering in todo items collected by doxygen,16,3,3,,,,
timestamps in ppu generated by fpc,1,1,1,,,,
gem2deb install mkmf log,?,?,2,,,,
nondeterministic vo files generated by coq,5,16,16,,,,
openstack pkg tools python shebang and dependencies,?,5,18,,,,
nondeterminism in apertium lrx bin files generated by lrx comp,?,?,5,,,,
random contents in dat files generated by chasen-dictutils makemat,6,5,6,,,,
randomness in intercal files,16,3,16,,,,
timestamps in cbd files generated by canna mkbindic,1,1,1,,,,
randomness in prolog saved stage,16,16,16,,,,
randomness in berkeley db files,5,5,5,,,,
build path in record file generated by pybuild flit plugin,2,2,2,,,,
timestamps in manpages generated by sphinx,1,1,1,,,,
timestamps in org mode html output,"1, ?",1,1,,,,
build date in egg info directory name,1,1,1,,,,
build date in manpage generated by spf13 cobra,1,1,1,,,,
buildpath in code generated by bison,2,2,2,,,,
implementation version in java manifest mf,"1, 8, ?",8,"1, 8",,,,
build path added by src2man from txt2man,2,2,2,,,,
build path captured by python numpy misc util,2,2,2,,,,
build path in texi figure documentation,2,2,2,,,,
captures build path in sphinx attr links,2,2,2,,,,
copyright year in comments generated by ckbuilder,1,5 or ?,1,,,,
date added by ui auto,1,1,1,,,,
debiandoc sgml timestamp,1,1,1,,,,
docbook2txt locale,10,locale or 16,17,,,,
elinks dump varies output with locale,?,locale or 16,17,,,,
ftbfs build-indep not build on some archs,?,8,16,,,,
ftbfs due to disorderfs,?,3,3,,,,
ftbfs due to jenkins semaphore setup,?,16,16,,,,
ftbfs old compat debheper compat level,?,?,0,,,,
ftbfs uninvestigated unsatisfiable dependencies,?,?,18,,,,
ftbfs wdatetime,1,1,1,,,,
ftbfs with -fdebug-prefix-map error,?,5,5,,,,
hevea captures build path,2,2,2,,,,
lessc captures build path,2,2,2,,,,
locale dependent order in devlibs depends,5,?,17,,,,
locale differences in pom,3,?,16,,,,
nondeterminism in files generated by hfst,?,?,16,,,,
nondeterministic output generated by gcab,10,10,10,,,,
nondeterministic output in warnings generated by breathe,?,5 or 16,5,,,,
nroff output varies by locale or utf8,12,?,17,,,,
perl extutils xspp captures build path,2,2,2,,,,
ppds compressed b64,16,4,4,,,,
python wheel package,1,1,1,,,,
qt translate noop nondeterministic ordering,?,3,12,,,,
r base appends built header to description files,"1, 9",5,"1, 9",,,,
random order in cython output,3,5,5,,,,
random order in files generated by module build,5,"3, ?",5,,,,
random order in native libs by setuptools,3,3,3,,,,
random order in python doit completion,5,5,5,,,,
randomness in documentation generated by scilab,2,2,2,,,,
randomness in python setuptools requires txt,3,5,3,,,,
randomness in qdoc page id,16,3,16,,,,
randomness in swf files generated by as3compile,?,3,16,,,,
ruby mkmf makefile unsorted objects,3,3,3,,,,
serial numbers in ogg via sox,5,3,5,,,,
snapshot placeholder replaced with timestamp in pom properties,1,1,1,,,,
timestamp added by java util properties,1,1,1,,,,
timestamp and build path captured by python cheetah,"1, 2",1,"1, 2",,,,
timestamp in jboss messagebundle generated code,1,1,1,,,,
timestamp in pear registry files,1,1,1,,,,
timestamps added by blast2,1,1,1,,,,
timestamps from cpp macros in haskell,1,1,1,,,,
timestamps from imake in xutils,?,1,4,,,,
timestamps from tex4ht,1,1,1,,,,
timestamps from timestamp macro,1,1,1,,,,
timestamps generated by eigenbase resgen,1,1,1,,,,
timestamps generated by mangosdk spiprocessor,1,1,1,,,,
timestamps generated by xbean spring,1,1,1,,,,
timestamps in ada library information files,1,1,1,,,,
timestamps in copyright added by perl dist zilla,1,1,1,,,,
timestamps in cpio archive,1,1,1,,,,
timestamps in directories,1,1,1,,,,
timestamps in documentation generated by docbook dbtimestamp,1,1,1,,,,
timestamps in documentation generated by glib genpod,1,1,1,,,,
timestamps in documentation generated by groff,1,1,1,,,,
timestamps in documentation generated by htmldoc,1,1,1,,,,
timestamps in documentation generated by lua ldoc,1,1,1,,,,
timestamps in documentation generated by man2html,1,1,1,,,,
timestamps in documentation generated by mandoc,1,1,1,,,,
timestamps in documentation generated by mkdocs,1,1,1,,,,
timestamps in documentation generated by naturaldocs,1,1,1,,,,
timestamps in documentation generated by ocamldoc,1,1,1,,,,
timestamps in documentation generated by podman,1,1,1,,,,
timestamps in documentation generated by rdtool,1,1,1,,,,
timestamps in documentation generated by ur,1,1,1,,,,
timestamps in documentation generated with libwibble,1,1,1,,,,
timestamps in edj files generated by edje cc,1,1,1,,,,
timestamps in files installed by dh kpatches,16,1,4,,,,
timestamps in gjdoc properties files,1,1,1,,,,
timestamps in header or footer by htmldoc in documentation,1,1,1,,,,
timestamps in htm by gap,1,1,1,,,,
timestamps in java stapler files,1,1,1,,,,
timestamps in manpages generated by autogen,1,1,1,,,,
timestamps in manpages generated by docbook2x,1,1,1,,,,
timestamps in manpages generated by docbook utils,1,1,1,,,,
timestamps in manpages generated by doxygen,1,1,1,,,,
timestamps in manpages generated by perl extutils command mm,1,1,1,,,,
timestamps in manpages generated by txt2man,1,1,1,,,,
timestamps in manpages generated by yat2m,1,1,1,,,,
timestamps in mdl molfile,1,1,1,,,,
timestamps in pdf generated by rsvg convert,1,1,1,,,,
timestamps in perllocal pod manpages generated by perl extutils mm unix,1,1,1,,,,
timestamps in python code generated by cheetah,1,1,1,,,,
timestamps in python code generated by pyside,1,1,1,,,,
timestamps in python docutils,1,1,1,,,,
timestamps in python version numbers,1,1,1,,,,
timestamps in qmake makefiles,1,1,1,,,,
timestamps in sym l files generated by malaga,1,1,1,,,,
txt2man dash p,?,"2, 15",15,,,,
uid and gid in jar,?,9,9,,,,
uname output in python debugging symbols caused by sysconfig getplatform,?,8,8,,,,
unrelated ftbfs,?,16,16,,,,
users and groups in cpio archive,"9, ?",9,9,,,,
variations from march native,8,8,8,,,,
varying ordering in data tar gz or control tar gz,16,4,4,,,,
xmlto txt output locale specific,?,locale or 16,17,,,,
year variable in documentation generated by doxygen,1,1,1,,,,
zope random field order in dzproduct,3,3,3,,,,
